kind,sido,sigungu,name,area_k_m2,industry_k_m2,designated,note,source_file
일반,충북,진천군,진천스마트복합산업단지,1135,763,2023-03-03,,한국산업단지공단_전국산업단지현황통계_20230331.xlsx
일반,인천,계양구,계양산업단지,243,133,2023-04-10,,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
일반,경북,경산시,경산상림재활산업특화단지,541,202,2023-04-21,,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
농공,전남,고흥군,고흥무인항공영농기술특화농공단지,137,92,2023-04-27,,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
일반,울산,울주군,울산도하일반산업단지,423,163,2023-05-04,,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
농공,강원,고성군,고성제2특화농공단지,130,83,2023-05-17,,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
농공,강원,양양군,양양친환경스마트육상연어양식농공단지,106,85,2023-05-25,,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
도시첨단,충북,음성군,충북진천·음성혁신도시 도시첨단(2)산업단지,104,59,2023-06-08,,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
일반,울산,울주군,울산KTX역세권일반산업단지,421,125,2023-07-13,,한국산업단지공단_전국산업단지현황통계_20230930.xlsx
일반,충남,서산시,대산그린컴플렉스일반산업단지,2261,1429,2023-07-20,,한국산업단지공단_전국산업단지현황통계_20230930.xlsx
일반,충북,진천군,진천메가폴리스산업단지,1460,852,2023-08-18,,한국산업단지공단_전국산업단지현황통계_20230930.xlsx
국가,경북,영주시,영주첨단베어링국가산업단지,1186,701,2023-08-25,,한국산업단지공단_전국산업단지현황통계_20230930.xlsx
일반,인천,서구,인천검단2일반산업단지,770,442,2023-08-31,,한국산업단지공단_전국산업단지현황통계_20230930.xlsx
